States,GDP 1997,GDP 1998,GDP 1999,GDP 2000,GDP 2001,GDP 2002,GDP 2003,GDP 2004,GDP 2005,GDP 2006,GDP 2007,GDP 2008,GDP 2009,GDP 2010,GDP 2011,GDP 2012,GDP 2013,GDP 2014,GDP 2015,GDP 2016,GDP 2017,GDP 2018,GDP 2019,GDP average,unemployment 1980,unemployment 1981,unemployment 1982,unemployment 1983,unemployment 1984,unemployment 1985,unemployment 1986,unemployment 1987,unemployment 1988,unemployment 1989,unemployment 1990,unemployment 1991,unemployment 1992,unemployment 1993,unemployment 1994,unemployment 1995,unemployment 1996,unemployment 1997,unemployment 1998,unemployment 1999,unemployment 2000,unemployment 2001,unemployment 2002,unemployment 2003,unemployment 2004,unemployment 2005,unemployment 2006,unemployment 2007,unemployment 2008,unemployment 2009,unemployment 2010,unemployment 2011,unemployment 2012,unemployment 2013,unemployment 2014,unemployment 2015,unemployment 2016,unemployment 2017,unemployment 2018,unemployment average,incomeperson 2014,incomeperson 2015,incomeperson 2016,incomeperson 2017,incomeperson 2018,income average,highschool 2010,highschool 2011,highschool 2012,highschool 2013,highschool 2014,highschool 2015,highschool 2016,highschool 2017,highschool 2018,highschool average,bachelor 2010,bachelor 2011,bachelor 2012,bachelor 2013,bachelor 2014,bachelor 2015,bachelor 2016,bachelor 2017,bachelor 2018,bachelor average,graduate 2010,graduate 2011,graduate 2012,graduate 2013,graduate 2014,graduate 2015,graduate 2016,graduate 2017,graduate 2018,graduate average,2014 Population,2010 Population,2014 %Person under 5 years,2014 %Person under 18 years,2014 %Person 65 years and over,2014 % femal person,2014 % white ,2014 %black or African American ,2014 % American Indian and Alaska native,2014 %Asian ,2014 % Native Hawaiian and other pacific islander ,2014 %Two or more race ,2014 %Hispanic or latino,2009-2013 Living in same house 1 year or over,2009-2013 foreign born person,2009-2013 Language other than English spoken at home,2009-2013 High school graduate or higher 25+,2009-2013 Bachelor’s degree or higher 25+,2009-2013 Veterans,2009-2013 mean travel time to work (min),2009-2013 Homeownership rate,2009-2013 Households,2009-2013 Median household income,2009-2013 %Persons below poverty level,2010 land area in square mile,2010 population per square mile ,2001 crime,2002 crime,2003 crime,2004 crime,2005 crime,2006 crime,2007 crime,2008 crime,2009 crime,2010 crime,2011 crime,2012 crime,2013 crime,2014 crime,2015 crime,2016 crime,crime average,2001 murder,2002 murder,2003 murder,2004 murder,2005 murder,2006 murder,2007 murder,2008 murder,2009 murder,2010 murder,2011 murder,2012 murder,2013 murder,2014 murder,2015 murder,2016 murder,murder average,2001 robbery,2002 robbery,2003 robbery,2004 robbery,2005 robbery,2006 robbery,2007 robbery,2008 robbery,2009 robbery,2010 robbery,2011 robbery,2012 robbery,2013 robbery,2014 robbery,2015 robbery,2016 robbery,robbery average,2001 rape,2002 rape,2003 rape,2004 rape,2005 rape,2006 rape,2007 rape,2008 rape,2009 rape,2010 rape,2011 rape,2012 rape,2013 rape,2014 rape,2015 rape,rape average,Percent Educational Attainment,Percent Peace Index,Percent Above Poverty Rate,Percent Non-religious,2013 Uninsured,2014 Uninsured,2015 Uninsured,2016 Uninsured,uninsured average,2019 Insured,2018 Insured,2017 Insured,2016 Insured,2015 Insured,2014 Insured,2013 Insured,2012 Insured,2011 Insured,2010 Insured,2009 Insured,2008 Insured,insured average,1976 winner,1976 votes,1980 winner,1980 votes,1984 winner,1984 votes,1988 winner,1988 votes,1992 winner,1992 votes,1996 winner,1996 votes,2000 winner,2000 votes,2004 winner,2004 votes,2008 winner,2008 votes,2012 winner,2012 votes,2016 winner,2016 votes
Minnesota,212510.9,223846.7,231480.8,247296.8,247001.6,252674.8,263658.3,274834.1,282487.5,282580.8,283857.8,286093.3,276033.2,285746.3,292275.1,296272.5,303222.5,312084.0,316863.3,321980.0,327667.5,337215.9,341041.4,285737.0090909091,5.8,5.8,7.9,8.0,6.3,6.0,5.5,5.1,4.3,4.3,4.8,5.1,5.1,5.0,4.1,3.7,4.0,3.3,2.7,2.8,3.2,3.8,4.5,4.9,4.7,4.1,4.0,4.6,5.4,7.8,7.4,6.5,5.6,5.0,4.2,3.7,3.9,3.4,2.9,4.826315789473684,50258,52355,53083,54960,57371,54442.25,666992,672464,686855,687330,706349,696370,"697,952","711,944","716,635",689873.6,202719,210266,214706,211083,214468,223789,"298,857","319,899","327,902",214862.4,66387,65910,69077,71063,83170,79809,"76,503","85,776","88,436",72569.33333333333,5457173,5303925,6.4,23.5,14.3,50.3,85.7,5.9,1.3,4.7,0.1,2.3,5.1,85.6,7.3,10.7,92.1,32.6,366990,22.9,72.5,2107232,59836,11.5,79626.74,66.6,13145.0,13428.0,13316.0,13751.0,15243.0,16042.0,15054.0,13853.0,12874.0,12515.0,12323.0,12419.0,12710.0,12505.0,13319.0,13365.0,13514.466666666667,119.0,112.0,127.0,113.0,115.0,126.0,116.0,110.0,74.0,96.0,75.0,99.0,114.0,88.0,133.0,101.0,106.6,3758.0,3937.0,3906.0,4070.0,4724.0,5441.0,4770.0,4179.0,3619.0,3388.0,3385.0,3475.0,3674.0,3687.0,3771.0,3730.0,3983.733333333333,2236.0,2273.0,2092.0,2123.0,2258.0,1645.0,1873.0,1805.0,1789.0,1798.0,2113.0,1638.0,1453.0,1452.0,1686.0,1857.0,31.5,67.72,88.6,51,8.2,5.9,4.5,4.1,4.833333333333333,95.1,95.6,95.6,95.9,95.5,94.1,91.8,92.0,91.2,90.9,90.9,91.6,93.19090909090909,democrat,1070440,democrat,954173,democrat,1036364,democrat,1109471,democrat,1020997,democrat,1120380,democratic-farmer-labor,1168266,democratic-farmer-labor,1445014,democrat,1573354,democratic-farmer-labor,1546167,democrat,1367705
Mississippi,83272.8,85301.7,87641.0,88089.1,87345.8,88354.0,92036.3,93754.3,95499.9,97973.5,100386.4,104471.7,99784.7,100043.3,98765.3,99616.3,99456.4,99501.2,100013.6,100412.1,101071.7,102061.7,102656.4,96556.20000000001,7.4,8.5,11.1,12.1,10.5,10.4,11.4,10.0,8.4,7.8,7.6,8.5,8.1,6.6,6.3,6.2,6.0,5.7,5.3,5.1,5.4,5.5,6.6,6.3,6.2,7.5,6.5,6.1,6.6,9.5,10.4,10.0,9.0,8.5,7.5,6.4,5.8,5.1,4.8,7.613157894736841,34547,35206,35672,36536,37852,36316.5,311817,316126,319352,318427,330736,327020,"333,009","312,377","335,585",322332.2,53612,54686,57954,53590,63106,62442,"86,903","79,407","91,866",58355.6,22896,23325,24060,25663,28681,23978,"26,207","24,836","27,74",24767.166666666668,2994079,2968103,6.5,24.4,14.3,51.4,59.7,37.5,0.6,1.0,0.1,1.2,3.0,85.8,2.2,3.9,81.5,20.1,200748,23.9,69.4,1088073,39031,22.7,46923.27,63.2,10006.0,9858.0,9336.0,8568.0,8131.0,9076.0,8502.0,8942.0,8451.0,7999.0,8009.0,7769.0,8303.0,8338.0,8254.0,8411.0,8529.8,282.0,264.0,267.0,227.0,214.0,231.0,202.0,236.0,194.0,204.0,232.0,213.0,217.0,258.0,259.0,237.0,230.33333333333334,3294.0,3356.0,3016.0,2503.0,2405.0,3259.0,2896.0,3079.0,2969.0,2777.0,2496.0,2277.0,2413.0,2430.0,2294.0,2433.0,2706.866666666667,1147.0,1127.0,1079.0,1161.0,1147.0,1039.0,1033.0,958.0,991.0,931.0,863.0,819.0,726.0,764.0,862.0,964.2857142857143,19.6,36.6,78.1,23,17.1,14.5,12.7,11.8,13.0,87.0,87.9,88.0,88.2,87.3,85.5,82.9,83.0,82.3,81.8,82.1,83.0,84.72727272727273,democrat,381329,republican,441089,republican,582377,republican,557890,republican,487793,republican,439838,republican,572844,republican,672660,republican,724597,republican,710746,republican,700714
Missouri,227965.4,232133.8,238759.9,245259.5,243468.1,246885.3,253103.3,258558.8,263282.4,264421.0,264552.9,271729.6,264872.5,269057.9,266254.6,268861.9,271475.9,272786.8,276316.7,276210.9,279264.3,284696.3,287659.3,263618.7136363636,7.2,7.6,9.2,9.9,7.2,6.5,6.2,6.3,5.7,5.5,5.8,6.6,6.2,6.2,5.1,4.7,4.8,4.3,4.2,3.3,3.6,4.6,5.4,5.6,5.9,5.4,4.8,5.1,6.1,9.3,9.6,8.5,6.9,6.7,6.1,5.0,4.6,3.8,3.2,5.9342105263157885,41775,43153,44318,45342,47109,44980.5,690485,709721,714762,723468,721764,726046,"736,783","747,12","764,037",719152.2,167570,169218,174104,177523,179656,178293,"269,437","273,994","283,506",175758.8,70133,75511,75006,77247,84703,81704,"81,544","84,431","88,414",77384.0,6063589,5988923,6.2,23.0,15.4,50.9,83.5,11.8,0.5,1.9,0.1,2.1,4.0,83.8,3.9,6.1,87.6,26.2,479828,23.1,68.4,2360131,47380,15.5,68741.52,87.1,30472.0,30557.0,28067.0,28226.0,30477.0,31897.0,32962.0,29701.0,29513.0,27440.0,26888.0,27189.0,26216.0,26856.0,30261.0,31720.0,29198.0,372.0,331.0,289.0,354.0,402.0,369.0,367.0,456.0,387.0,420.0,366.0,390.0,369.0,403.0,502.0,538.0,396.2,7771.0,7024.0,6686.0,6630.0,7196.0,7597.0,7728.0,7395.0,7437.0,6185.0,6275.0,5782.0,5486.0,5592.0,6376.0,6576.0,6664.333333333333,1383.0,1465.0,1400.0,1479.0,1625.0,1764.0,1785.0,1612.0,1606.0,1445.0,1469.0,1527.0,1679.0,1706.0,1854.0,1601.142857142857,25.2,35.9,84.5,40,13.0,11.7,9.8,8.9,10.133333333333333,90.0,90.6,90.9,91.1,90.2,88.3,87.0,86.4,86.3,86.8,86.8,87.6,88.36363636363636,democrat,998387,republican,1074181,republican,1274188,republican,1084953,democrat,1053873,democrat,1025935,republican,1189924,republican,1455713,republican,1445814,republican,1482440,republican,1594511
Montana,29197.0,30477.6,30588.8,31369.8,31573.4,32514.1,33860.3,35323.0,37078.1,38473.9,40401.9,40112.7,39388.1,40595.1,41511.3,42041.6,42429.7,43285.1,45042.5,44580.7,45480.6,46627.5,47916.3,39121.459090909084,6.1,6.8,8.5,8.6,7.6,7.7,7.9,7.4,6.6,5.8,6.0,6.9,6.7,6.0,5.2,5.7,5.3,5.3,5.5,5.3,5.0,4.5,4.4,4.7,4.8,4.4,3.5,3.6,5.1,6.8,7.3,6.9,6.0,5.4,4.7,4.2,4.1,3.9,3.7,5.731578947368422,41901,43627,44024,46199,48194,45511.0,111477,117052,114985,117479,118512,120750,"117,221","122,676","128,346",117755.6,30816,31704,32260,28318,30303,31792,"40,657","42,434","43,388",30875.4,6599,7085,7611,10241,9398,10562,"8,777","8,436","10,949",8582.666666666666,1023579,989417,6.0,22.0,16.7,49.8,89.4,0.6,6.6,0.8,0.1,2.6,3.5,83.6,2.0,4.4,92.1,28.7,94404,18.0,68.3,405525,46230,15.2,145545.8,6.8,3187.0,3197.0,3351.0,2723.0,2634.0,3564.0,3638.0,3013.0,2798.0,2733.0,2755.0,2803.0,2924.0,3313.0,3611.0,3886.0,3129.5333333333333,34.0,16.0,30.0,30.0,18.0,33.0,27.0,40.0,32.0,25.0,29.0,29.0,23.0,37.0,36.0,37.0,29.466666666666665,230.0,283.0,298.0,233.0,177.0,233.0,233.0,204.0,228.0,154.0,171.0,202.0,217.0,203.0,210.0,268.0,220.93333333333334,188.0,237.0,246.0,273.0,301.0,348.0,363.0,358.0,357.0,332.0,366.0,392.0,382.0,430.0,431.0,344.0,27.4,54.54,84.8,52,16.5,14.2,11.6,8.1,11.299999999999999,91.7,91.8,91.5,91.9,88.4,85.8,83.5,82.0,81.7,82.7,81.8,82.5,85.7818181818182,republican,173703,republican,206814,republican,232450,republican,190412,democrat,154507,republican,179652,republican,240178,republican,266063,republican,242763,republican,267928,republican,279240
Nebraska,70790.6,72421.4,73893.4,76663.0,78425.4,79684.7,84099.1,86116.1,89082.3,91535.2,93581.2,94070.1,94343.4,97830.1,102685.1,102605.3,103974.8,107394.4,110752.9,111611.7,113754.2,115087.9,117395.2,95318.49545454544,3.9,4.2,5.6,5.6,4.5,5.2,5.0,4.4,3.6,2.9,2.3,2.7,2.9,2.8,2.6,2.6,2.7,2.5,2.6,2.8,2.8,3.1,3.6,3.9,3.9,3.8,3.1,3.0,3.3,4.6,4.6,4.4,4.0,3.8,3.3,3.0,3.1,2.9,2.8,3.539473684210526,48953,50725,49615,50645,52890,50968.75,219999,223214,224828,224494,229621,232501,"231,114","237,514","239,172",226931.6,61386,58386,62330,63975,71903,62368,"95,456","96,669","99,272",63792.4,18884,20363,21659,24107,21231,25334,"25,537","26,994","28,7",21929.666666666668,1881503,1826341,6.9,24.8,14.4,50.2,89.4,4.9,1.4,2.2,0.1,2.0,10.2,83.3,6.3,10.5,90.5,28.5,142176,18.1,67.0,725787,51672,12.8,76824.17,23.8,5214.0,5428.0,5105.0,5393.0,5052.0,5197.0,5524.0,5570.0,5199.0,5093.0,4672.0,4802.0,4949.0,5275.0,5212.0,5661.0,5208.8,43.0,48.0,56.0,40.0,44.0,51.0,71.0,69.0,41.0,54.0,68.0,52.0,56.0,54.0,62.0,49.0,54.333333333333336,1128.0,1359.0,1165.0,1138.0,1040.0,1136.0,1115.0,1297.0,1220.0,1020.0,993.0,1128.0,1035.0,1043.0,994.0,946.0,1108.6,431.0,464.0,504.0,620.0,581.0,577.0,550.0,601.0,617.0,674.0,699.0,710.0,621.0,620.0,652.0,606.4285714285714,27.4,61.46,87.7,46,11.3,9.7,8.2,8.6,8.833333333333334,91.7,91.7,91.7,91.4,91.8,90.3,88.7,88.7,88.6,88.5,88.1,89.2,89.88181818181819,republican,359219,republican,419214,republican,460054,republican,397956,republican,343678,republican,363467,republican,433862,republican,512814,republican,452979,republican,475064,republican,495961
Nevada,89876.8,94699.9,101215.2,105454.6,106669.9,110165.0,115128.3,127760.6,138796.4,144601.7,144315.1,138588.7,127108.7,128878.9,129748.1,127789.1,128341.2,129405.2,134892.2,138638.9,143590.9,149663.0,153728.6,128144.55454545455,6.2,7.2,9.9,9.6,7.9,7.7,6.2,6.1,5.2,4.7,4.7,5.8,6.7,6.8,6.2,5.6,5.0,4.4,4.2,4.0,4.2,5.2,5.6,5.1,4.3,4.1,4.0,4.5,6.7,11.3,13.5,13.0,11.2,9.6,7.9,6.8,5.7,5.1,4.6,6.586842105263158,41505,44314,45351,47650,50000,46828.75,320659,320345,334022,339892,346736,359446,"370,239","385,594","392,557",340088.2,60389,60361,66520,64731,68275,67353,"96,304","104,534","103,95",65448.0,20623,18329,21683,20492,22201,21223,"23,122","25,914","24,81",20758.5,2839099,2700692,6.2,23.4,14.2,49.7,76.2,9.1,1.6,8.3,0.7,4.0,27.8,77.7,19.1,29.3,84.6,22.4,226555,23.8,56.7,999016,52800,15.0,109781.18,24.6,12359.0,13856.0,13813.0,14379.0,14654.0,18687.0,19365.0,18973.0,18639.0,17929.0,15452.0,16763.0,16888.0,18045.0,20118.0,19924.0,17165.666666666668,180.0,181.0,197.0,172.0,206.0,226.0,193.0,165.0,156.0,158.0,139.0,124.0,163.0,170.0,178.0,228.0,177.06666666666666,4932.0,5118.0,5225.0,4905.0,4702.0,7038.0,6938.0,6486.0,6028.0,5298.0,4308.0,4918.0,5183.0,5954.0,6287.0,6338.0,5648.4,883.0,928.0,871.0,954.0,1016.0,1092.0,1096.0,1106.0,1024.0,965.0,913.0,931.0,1090.0,995.0,1238.0,1015.6428571428571,21.8,32.64,84.6,51,20.7,15.2,12.3,11.4,12.966666666666667,88.6,88.8,88.8,88.6,87.7,84.8,79.3,77.8,78.1,77.4,78.1,79.3,82.60909090909091,republican,101273,republican,155017,republican,188770,republican,206040,democrat,189148,democrat,203974,republican,301575,republican,418690,democrat,533736,democrat,531373,democrat,539260
New Hampshire,48424.0,51616.7,53051.7,56718.8,57429.2,59057.6,61610.0,63497.8,64350.0,65926.9,65674.6,64960.3,64419.6,66460.5,66859.3,67635.7,68124.5,69506.5,71419.1,73022.7,74253.6,76165.3,77240.3,65409.122727272734,4.5,5.2,6.8,5.5,4.3,3.7,2.8,2.3,2.4,3.5,5.7,7.3,7.3,6.1,4.7,4.0,3.8,3.3,2.8,2.7,2.7,3.4,4.5,4.3,3.8,3.6,3.4,3.5,3.9,6.2,5.8,5.4,5.5,5.1,4.3,3.4,2.9,2.7,2.5,4.239473684210527,52669,54533,56513,58759,61471,57819.0,135026,135065,137567,140874,144326,147196,"150,88","153,638","157,983",141005.6,37989,39453,41831,37671,40090,45174,"66,824","68,344","65,105",40843.8,13334,15088,15089,13597,17102,18103,"20,207","21,018","20,554",15385.5,1326813,1316466,4.9,20.1,15.9,50.6,94.0,1.5,0.3,2.5,0.0,1.6,3.3,86.5,5.4,8.0,91.8,33.7,112790,26.3,71.4,518245,64916,8.7,8952.65,147.0,2144.0,2056.0,1937.0,2202.0,1761.0,1785.0,1896.0,2054.0,2125.0,2204.0,2864.0,2841.0,2952.0,2602.0,2652.0,2668.0,2306.6,17.0,12.0,17.0,17.0,19.0,13.0,12.0,14.0,11.0,13.0,16.0,15.0,21.0,12.0,14.0,19.0,15.0,445.0,413.0,480.0,500.0,365.0,435.0,451.0,421.0,454.0,450.0,509.0,471.0,647.0,537.0,468.0,431.0,468.8,458.0,446.0,438.0,466.0,406.0,295.0,357.0,385.0,399.0,411.0,581.0,486.0,522.0,458.0,461.0,436.5,32.0,68.98,90.8,67,10.7,9.2,6.3,5.9,7.133333333333333,93.7,94.3,94.2,94.1,93.7,90.8,89.3,89.4,89.5,88.9,89.8,89.5,91.22727272727272,republican,185935,republican,221705,republican,267050,republican,281537,democrat,209040,democrat,246166,republican,273559,democrat,340511,democrat,384826,democrat,369561,democrat,348526
New Jersey,425868.6,433367.0,448528.9,472786.5,476264.2,486924.3,499353.6,507222.7,513115.9,523842.5,526661.0,532724.6,510832.5,516400.5,510773.3,519569.0,526889.9,524420.4,535284.5,540380.3,540656.6,549000.8,556731.0,511442.2727272727,7.2,7.4,8.7,8.0,6.2,5.6,5.0,4.1,3.8,4.1,5.0,6.7,8.4,7.6,6.8,6.4,6.1,5.3,4.6,4.5,3.7,4.3,5.8,5.8,4.8,4.5,4.7,4.3,5.3,9.1,9.5,9.3,9.3,8.2,6.8,5.8,5.0,4.6,4.1,6.0315789473684225,58670,61153,62842,64983,67845,64205.75,1005918,1023484,1024011,1036125,1053318,1060132,"1,072,646","1,089,374","1,075,852",1039414.0,318860,310839,323807,325166,334344,344430,"514,631","539,527","543,499",327717.2,137772,140406,151265,159970,152972,158566,"163,197","177,487","169,185",150158.5,8938175,8791936,6.0,22.5,14.7,51.2,73.0,14.8,0.6,9.4,0.1,2.1,19.3,90.1,21.2,30.0,88.1,35.8,437652,30.4,65.6,3186418,71629,10.4,7354.22,1195.5,33094.0,32252.0,31488.0,30943.0,30919.0,30550.0,28544.0,28351.0,27113.0,27055.0,27203.0,25727.0,25748.0,23346.0,22879.0,21861.0,27598.6,336.0,339.0,406.0,392.0,417.0,427.0,381.0,376.0,319.0,371.0,380.0,388.0,404.0,349.0,363.0,378.0,379.3333333333333,14110.0,13955.0,13342.0,13076.0,13215.0,13360.0,12567.0,12701.0,11639.0,11818.0,12209.0,11385.0,12084.0,10498.0,9729.0,8940.0,12034.533333333333,1278.0,1365.0,1288.0,1331.0,1208.0,1201.0,1032.0,1122.0,1041.0,981.0,1006.0,1035.0,861.0,953.0,1019.0,1103.0714285714287,34.5,47.38,88.9,45,13.2,10.9,8.7,8.0,9.200000000000001,92.1,92.6,92.3,92.0,91.3,89.1,86.8,87.3,86.9,86.8,87.4,88.0,89.13636363636361,republican,1509688,republican,1546557,republican,1933630,republican,1743192,democrat,1436206,democrat,1652361,democrat,1788850,democrat,1911430,democrat,2215422,democrat,2122786,democrat,2148278
New Mexico,67428.3,67071.2,70696.3,71960.2,72027.1,74241.5,77088.4,82784.5,83793.8,85852.3,86474.5,85937.9,87636.8,87053.8,87225.0,87644.8,86624.8,89372.2,91679.5,91713.9,91772.3,93870.9,98765.7,84149.42727272728,7.6,7.3,9.2,9.7,7.8,8.3,9.3,8.7,7.5,6.7,6.6,7.1,7.2,7.0,6.5,6.6,7.2,6.3,6.1,5.6,4.9,4.9,5.5,5.9,5.5,5.1,4.2,3.8,4.5,7.5,8.1,7.5,7.1,6.9,6.7,6.5,6.6,5.9,4.9,6.6499999999999995,37207,38320,39025,39747,41670,39690.5,219846,230729,234467,233177,238604,231232,"243,382","247,363","246,2",233641.8,35456,42066,40813,41494,40993,37565,"65,564","67,744","64,864",40586.2,16297,15448,18331,22131,19424,21528,"20,333","21,267","19,97",18859.833333333332,2085572,2059192,6.6,24.1,15.3,50.5,82.8,2.5,10.4,1.7,0.2,2.5,47.7,85.3,9.8,36.1,83.6,25.8,172717,21.6,68.7,761938,44927,20.4,121298.15,17.0,14288.0,13719.0,12535.0,13081.0,12448.0,12797.0,13311.0,12967.0,12709.0,12147.0,11904.0,11660.0,12990.0,12459.0,13681.0,14585.0,12866.2,99.0,152.0,116.0,169.0,144.0,134.0,183.0,161.0,198.0,140.0,158.0,116.0,123.0,101.0,117.0,139.0,143.4,2695.0,2206.0,1937.0,2062.0,1893.0,2095.0,2323.0,2151.0,1932.0,1616.0,1720.0,1847.0,1832.0,2086.0,2485.0,2737.0,2061.4666666666667,850.0,1027.0,940.0,1039.0,1041.0,1073.0,1028.0,1118.0,1069.0,959.0,856.0,957.0,1135.0,1071.0,1215.0,1037.7142857142858,25.3,42.94,79.4,43,18.6,14.5,10.9,9.2,11.533333333333331,90.0,90.5,90.9,90.8,89.1,85.5,81.4,81.6,80.2,80.4,80.3,79.3,84.54545454545453,republican,211419,republican,250779,republican,307101,republican,270341,democrat,261617,democrat,273495,democrat,286783,republican,376930,democrat,472422,democrat,415335,democrat,385234
New York,977600.5,996014.7,1046471.5,1084844.3,1107932.3,1098776.8,1101603.6,1129017.5,1167640.1,1196694.8,1203502.8,1177915.1,1221256.0,1267972.0,1270516.7,1323400.8,1325490.0,1347559.8,1372232.4,1397723.7,1424905.5,1467076.8,1490678.5,1237237.5318181817,7.5,7.6,8.5,8.7,7.2,6.6,6.2,4.9,4.3,5.0,5.3,7.2,8.6,7.9,6.9,6.3,6.2,6.4,5.6,5.2,4.5,4.8,6.1,6.4,5.8,5.0,4.5,4.6,5.4,8.3,8.6,8.3,8.5,7.7,6.3,5.3,4.9,4.7,4.1,6.2736842105263175,56758,59243,61401,65814,68657,63778.75,2342090,2391858,2441573,2492759,2549884,2582494,"2,606,044","2,651,959","2,627,987",2491713.6,711288,717970,748651,782518,800461,834676,"1,284,441","1,311,673","1,332,263",776855.2,387056,406083,410388,418254,435851,433097,"449,621","462,426","465,527",415121.5,19746227,19378112,6.0,21.4,14.7,51.5,70.4,17.6,1.0,8.5,0.1,2.4,18.6,88.8,22.1,29.9,85.2,33.2,912499,31.6,54.2,7234743,58003,15.3,47126.4,411.2,98022.0,95030.0,89486.0,84914.0,85839.0,84016.0,79962.0,77546.0,75110.0,76492.0,77463.0,79535.0,77563.0,75398.0,,74315.0,80904.92857142857,960.0,909.0,934.0,889.0,874.0,922.0,805.0,836.0,781.0,868.0,769.0,683.0,644.0,617.0,,629.0,797.1428571428571,36555.0,36653.0,35790.0,33506.0,35179.0,34459.0,31085.0,31787.0,28141.0,28630.0,28405.0,28633.0,27241.0,24045.0,,22310.0,30418.85714285714,3546.0,3885.0,3775.0,3608.0,3636.0,3168.0,2928.0,2798.0,2582.0,2797.0,2751.0,2837.0,2575.0,3918.0,,3173.6923076923076,32.4,45.56,84.1,54,10.7,8.7,7.1,6.1,7.3,94.8,94.6,94.3,93.9,92.9,91.3,89.3,89.1,88.6,88.1,88.6,88.6,90.84545454545456,democrat,3244165,democrat,2728372,republican,3376519,democrat,3255487,democrat,3346894,democrat,3649630,democrat,3942215,democrat,4180755,democrat,4645332,democrat,4324228,democrat,4379789
North Carolina,316586.7,327708.6,345598.8,357823.8,360773.1,365828.8,374588.0,387840.1,406293.9,431796.2,436767.3,446612.8,427493.8,433916.7,438423.4,439539.7,445109.6,455295.7,469535.6,477523.8,489026.6,501955.0,511539.9,424135.9636363636,6.4,6.5,9.2,9.0,6.7,5.6,5.3,4.5,3.6,3.5,4.1,5.8,6.0,5.0,4.4,4.3,4.3,3.7,3.5,3.2,3.7,5.5,6.6,6.4,5.5,5.2,4.7,4.7,6.1,10.6,10.9,10.3,9.3,8.0,6.3,5.7,5.1,4.5,3.9,5.821052631578947,40069,41839,42816,44409,46216,43820.0,1065012,1064677,1082165,1102471,1123702,1143191,"1,184,050","1,219,077","1,255,301",1103241.2,265598,270702,275505,280926,289694,295317,"434,047","468,044","476,238",282428.8,91441,97397,106489,116101,115255,121085,"128,372","138,088","128,29",107961.33333333333,9943964,9535691,6.1,23.0,14.7,51.3,71.5,22.1,1.6,2.7,0.1,2.1,9.0,84.7,7.6,10.9,84.9,27.3,724295,23.6,66.4,3715565,46334,17.5,48617.91,196.1,40465.0,39118.0,38243.0,38244.0,40650.0,42088.0,42231.0,43125.0,37946.0,34679.0,33421.0,34464.0,33587.0,32767.0,34852.0,37767.0,37545.46666666667,505.0,548.0,506.0,532.0,585.0,539.0,584.0,599.0,489.0,474.0,498.0,479.0,463.0,510.0,517.0,678.0,533.4,13304.0,12205.0,12229.0,11782.0,12635.0,13468.0,13534.0,14323.0,11825.0,9620.0,9448.0,9392.0,9275.0,8416.0,8825.0,9336.0,11087.533333333333,2083.0,2196.0,2139.0,2339.0,2302.0,2495.0,2386.0,2296.0,2306.0,2002.0,1959.0,1984.0,1790.0,1740.0,1939.0,2133.785714285714,26.5,45.72,82.8,35,15.6,13.1,11.2,10.4,11.566666666666665,88.7,89.3,89.3,89.6,88.8,86.9,84.4,83.4,83.7,83.2,83.9,84.5,86.0909090909091,democrat,927365,republican,915018,republican,1346481,republican,1237258,republican,1134661,republican,1225938,republican,1631163,republican,1961166,democrat,2142651,republican,2270395,republican,2362631
North Dakota,22465.5,23732.2,23755.9,24653.3,25078.5,26404.4,27996.7,28255.5,29166.5,30371.3,31790.4,34304.4,35297.2,37974.9,42208.5,51624.6,52385.5,56554.6,55067.4,51137.3,51291.2,53472.8,53930.2,38475.15,4.9,4.8,5.6,5.7,5.3,5.7,5.9,5.0,4.7,4.3,4.0,4.4,4.7,4.3,3.7,3.2,2.9,2.7,2.9,3.3,3.0,2.9,3.7,3.7,3.4,3.4,3.2,3.1,3.2,4.1,3.8,3.5,3.1,2.9,2.7,2.8,3.1,2.7,2.6,3.789473684210526,56314,53762,51832,52736,55788,53529.5,85204,88905,94401,96348,101825,108196,"110,433","109,563","108,575",97935.0,24292,24705,26175,23439,27759,31729,"42,227","44,475","41,506",26761.4,7263,7275,8658,8349,7322,8917,"9,204","11,745","8,007",7964.0,739482,672591,6.9,22.8,14.2,48.7,89.1,2.1,5.4,1.3,0.1,2.0,3.2,82.8,2.7,5.3,90.9,27.2,53157,16.9,66.1,287270,53741,11.9,69000.8,9.7,505.0,496.0,508.0,558.0,706.0,1255.0,1343.0,1441.0,1723.0,1548.0,1699.0,1723.0,1979.0,1960.0,1812.0,1905.0,1377.0666666666666,7.0,5.0,9.0,8.0,12.0,14.0,17.0,11.0,12.0,10.0,24.0,25.0,16.0,22.0,21.0,16.0,14.8,60.0,58.0,53.0,43.0,54.0,75.0,75.0,73.0,107.0,90.0,91.0,127.0,161.0,173.0,148.0,181.0,100.6,164.0,163.0,160.0,177.0,180.0,241.0,252.0,331.0,296.0,245.0,266.0,279.0,288.0,276.0,276.0,245.0,25.8,65.12,88.9,47,10.4,7.9,7.8,7.0,7.566666666666666,93.1,92.7,92.5,93.0,92.2,92.1,89.6,90.0,90.2,90.2,90.3,90.0,91.16363636363637,republican,153684,republican,193695,republican,200336,republican,166559,republican,136244,republican,125050,republican,174852,republican,196651,republican,168601,republican,188320,republican,216794
